:END_ID(Category),:START_ID(Dataset)
4352828200696294915,-367088688945561187
-2197685487778102281,-367088688945561187
4352828200696294915,-2894760873312510574
7689500311943982700,-2894760873312510574
4352828200696294915,3091219437783835965
2560952330484587224,3091219437783835965
4352828200696294915,-4875975844791292481
4352828200696294915,412197494533906334
7689500311943982700,412197494533906334
4352828200696294915,-3268321604146033833
585415664869983393,-3268321604146033833
4352828200696294915,4132044991853147512
7689500311943982700,4132044991853147512
4352828200696294915,5680875039533806150
7689500311943982700,5680875039533806150
4352828200696294915,4834530113451736407
7689500311943982700,4834530113451736407
4687106631149561834,-3889760834992136201
9008077276607757858,-3889760834992136201
42204683566972527,-3889760834992136201
4352828200696294915,-6102533447592460876
7689500311943982700,-6102533447592460876
4352828200696294915,-7112309434128006135
7689500311943982700,-7112309434128006135
4352828200696294915,1725787755711399074
7689500311943982700,1725787755711399074
4352828200696294915,1926232494965530136
7689500311943982700,1926232494965530136
4352828200696294915,4732826475023693312
-2197685487778102281,4732826475023693312
4352828200696294915,7674407472168104391
585415664869983393,7674407472168104391
4352828200696294915,-3697689905819082101
585415664869983393,-3697689905819082101
4352828200696294915,2688613499275929466
7689500311943982700,2688613499275929466
4687106631149561834,-7813557832995466640
9008077276607757858,-7813557832995466640
2480926056306495458,-7813557832995466640
4352828200696294915,5148601610848941439
7689500311943982700,5148601610848941439
4352828200696294915,5537729001135498189
7689500311943982700,5537729001135498189
4352828200696294915,-1953796280774122126
7689500311943982700,-1953796280774122126
4352828200696294915,2742928474143926133
7689500311943982700,2742928474143926133
4352828200696294915,-2099663929428045816
7689500311943982700,-2099663929428045816
4352828200696294915,-2278440419477999209
585415664869983393,-2278440419477999209
4352828200696294915,1497737959372698798
585415664869983393,1497737959372698798
4352828200696294915,6783487905873440601
7689500311943982700,6783487905873440601
4352828200696294915,-4260139794117116491
585415664869983393,-4260139794117116491
4352828200696294915,2861443827566920012
7689500311943982700,2861443827566920012
4352828200696294915,-1346354152846319734
7689500311943982700,-1346354152846319734
4352828200696294915,-6401046467334563283
7689500311943982700,-6401046467334563283
4352828200696294915,8770332956708344169
585415664869983393,8770332956708344169
4352828200696294915,1807671237097660411
7689500311943982700,1807671237097660411
4352828200696294915,2995489682186948747
4687106631149561834,-1493352976371348754
-2672473053555925323,-1493352976371348754
4687106631149561834,3390008904200986362
-2672473053555925323,3390008904200986362
4687106631149561834,6712362248119272471
-2672473053555925323,6712362248119272471
4687106631149561834,-4326107842351432563
-2672473053555925323,-4326107842351432563
4687106631149561834,-3124492143719175918
-2672473053555925323,-3124492143719175918
4687106631149561834,-1809382975646976826
-2672473053555925323,-1809382975646976826
4687106631149561834,8493244552988894199
-2672473053555925323,8493244552988894199
4687106631149561834,-4786330297982686118
-2672473053555925323,-4786330297982686118
4687106631149561834,-6634197220334371322
-2672473053555925323,-6634197220334371322
4687106631149561834,4614728295105082882
-2672473053555925323,4614728295105082882
4687106631149561834,4177201809988293771
-2672473053555925323,4177201809988293771
4687106631149561834,424468894867282420
-2672473053555925323,424468894867282420
4687106631149561834,2474670215632162362
-2672473053555925323,2474670215632162362
4687106631149561834,-2821585120339543326
-6097805585051225509,-2821585120339543326
4687106631149561834,-129563689026268030
-3121909766728792320,-129563689026268030
4687106631149561834,5410318328982243261
-6097805585051225509,5410318328982243261
4687106631149561834,-6072196690805753011
-4703458733694374599,-6072196690805753011
4687106631149561834,7258299094598536695
-4703458733694374599,7258299094598536695
4687106631149561834,-607920241557414614
-4703458733694374599,-607920241557414614
4687106631149561834,6038530880291631466
-4703458733694374599,6038530880291631466
4687106631149561834,-4842242276754246647
-4703458733694374599,-4842242276754246647
4687106631149561834,-4089154615034424610
-4703458733694374599,-4089154615034424610
4687106631149561834,4898465565028160495
-4703458733694374599,4898465565028160495
4687106631149561834,3106421791436965309
-4703458733694374599,3106421791436965309
4687106631149561834,7224399847368721444
-4703458733694374599,7224399847368721444
4687106631149561834,3800979646222970375
-4703458733694374599,3800979646222970375
4687106631149561834,-5216985000161257322
-4703458733694374599,-5216985000161257322
4687106631149561834,-2852027384342030626
-4703458733694374599,-2852027384342030626
4687106631149561834,-7793464265222776776
-4703458733694374599,-7793464265222776776
4687106631149561834,6307720004145468603
-4703458733694374599,6307720004145468603
4687106631149561834,9095897249836927817
-4703458733694374599,9095897249836927817
4687106631149561834,-4418880849695254309
-4703458733694374599,-4418880849695254309
4687106631149561834,-6167403859194951602
-4703458733694374599,-6167403859194951602
4687106631149561834,-6152584125253494828
-4703458733694374599,-6152584125253494828
4687106631149561834,8879647949827730472
-4703458733694374599,8879647949827730472
4687106631149561834,1232191759238036067
-4703458733694374599,1232191759238036067
4687106631149561834,496220954916988454
-4703458733694374599,496220954916988454
4687106631149561834,2568189914160916267
-4703458733694374599,2568189914160916267
4687106631149561834,-3795287838917477693
-4703458733694374599,-3795287838917477693
4687106631149561834,-5665729573508498863
-4703458733694374599,-5665729573508498863
4687106631149561834,-1742892708161580655
-4703458733694374599,-1742892708161580655
4687106631149561834,-8727217804719891552
-4703458733694374599,-8727217804719891552
4687106631149561834,-1680680935523573807
-4703458733694374599,-1680680935523573807
4687106631149561834,-5160721501342735740
-4703458733694374599,-5160721501342735740
4687106631149561834,8015323498874685759
-4703458733694374599,8015323498874685759
4687106631149561834,-457254455920238848
-6097805585051225509,-457254455920238848
4687106631149561834,-1070955996941293159
-6097805585051225509,-1070955996941293159
4687106631149561834,-618497281753344464
-6097805585051225509,-618497281753344464
4687106631149561834,3937934716436801013
-2672473053555925323,3937934716436801013
4687106631149561834,7047437288773299600
-2672473053555925323,7047437288773299600
4687106631149561834,5466553592538164009
-2672473053555925323,5466553592538164009
4687106631149561834,9112768438828894777
-3121909766728792320,9112768438828894777
4687106631149561834,5110532822290559398
6298733530135793627,5110532822290559398
4687106631149561834,8827831092000441704
-3121909766728792320,8827831092000441704
4687106631149561834,-2037628683695245224
-3121909766728792320,-2037628683695245224
4687106631149561834,5415358320566797757
-4703458733694374599,5415358320566797757
4687106631149561834,1847477175041505402
-6097805585051225509,1847477175041505402
4687106631149561834,1637516888387088460
-3121909766728792320,1637516888387088460
4687106631149561834,-7192124126793125928
-6097805585051225509,-7192124126793125928
4687106631149561834,-4657776431514864625
-6097805585051225509,-4657776431514864625
4687106631149561834,711545382357245446
-6097805585051225509,711545382357245446
4687106631149561834,-8291145297652841734
-6097805585051225509,-8291145297652841734
4687106631149561834,-2965982023781214482
-3121909766728792320,-2965982023781214482
4687106631149561834,473736029090051937
-6097805585051225509,473736029090051937
4687106631149561834,-1003265749711768525
8138222883700124593,-1003265749711768525
4687106631149561834,-4983962345444674869
-4703458733694374599,-4983962345444674869
4687106631149561834,-6949336444060477612
-4703458733694374599,-6949336444060477612
4687106631149561834,-9163727611359854622
-4703458733694374599,-9163727611359854622
4687106631149561834,-6733854752228979895
-4703458733694374599,-6733854752228979895
4687106631149561834,-8860582632742519373
-4703458733694374599,-8860582632742519373
4687106631149561834,-8882611359913675427
-4703458733694374599,-8882611359913675427
4687106631149561834,-5044358465522746305
-4703458733694374599,-5044358465522746305
4687106631149561834,7914871914193928006
-4703458733694374599,7914871914193928006
4687106631149561834,-5825668097063348232
-4703458733694374599,-5825668097063348232
4687106631149561834,-2707975517617346695
-4703458733694374599,-2707975517617346695
4687106631149561834,1118065279761276145
-4703458733694374599,1118065279761276145
4687106631149561834,-7492349656194355687
-4703458733694374599,-7492349656194355687
4687106631149561834,5550236096418276939
-4703458733694374599,5550236096418276939
4687106631149561834,5559726475392672766
-4703458733694374599,5559726475392672766
4687106631149561834,-5802619449167468462
-4703458733694374599,-5802619449167468462
4687106631149561834,3749094963110487190
-4703458733694374599,3749094963110487190
4687106631149561834,-7252275118906704213
-4703458733694374599,-7252275118906704213
4687106631149561834,2165213421057691719
-4703458733694374599,2165213421057691719
4687106631149561834,8045882426475972990
-4703458733694374599,8045882426475972990
4687106631149561834,149829184588981791
-4703458733694374599,149829184588981791
4687106631149561834,3921204065020469760
-4703458733694374599,3921204065020469760
4687106631149561834,2327841959141178050
-4703458733694374599,2327841959141178050
4687106631149561834,6362125403348314899
-4703458733694374599,6362125403348314899
4687106631149561834,256674844452052636
-4703458733694374599,256674844452052636
4687106631149561834,-4237001937891514926
-4703458733694374599,-4237001937891514926
4687106631149561834,-3155065363378337760
-4703458733694374599,-3155065363378337760
4687106631149561834,8926619206087863011
-6097805585051225509,8926619206087863011
4687106631149561834,716648910769226276
-6097805585051225509,716648910769226276
4687106631149561834,5246413852606216760
-3121909766728792320,5246413852606216760
4687106631149561834,-2947301996058329485
-6097805585051225509,-2947301996058329485
4687106631149561834,1997699557479292810
-3121909766728792320,1997699557479292810
4687106631149561834,7185047542376461711
-6097805585051225509,7185047542376461711
4687106631149561834,-893534131488252486
-6097805585051225509,-893534131488252486
4687106631149561834,6684903526700580671
-6097805585051225509,6684903526700580671
4687106631149561834,3811183658189641187
-6097805585051225509,3811183658189641187
4687106631149561834,6852636628733948201
8138222883700124593,6852636628733948201
4687106631149561834,-5884133032162937194
8138222883700124593,-5884133032162937194
4687106631149561834,4925087698724120172
-6097805585051225509,4925087698724120172
4687106631149561834,-3332323164336779536
-6097805585051225509,-3332323164336779536
4687106631149561834,-9169304073342629602
3671262848689025573,-9169304073342629602
4687106631149561834,-5501892072434156523
-6097805585051225509,-5501892072434156523
4687106631149561834,8178874518001766049
-6097805585051225509,8178874518001766049
