:END_ID(Tag),:START_ID(Dataset)
5766403011017343112,-367088688945561187
-4090310339539240464,-2894760873312510574
5971140001825619518,3091219437783835965
-5278097113290232822,-4875975844791292481
-2056787657062036326,412197494533906334
5766403011017343112,-3268321604146033833
4515268889328978948,4132044991853147512
4515268889328978948,5680875039533806150
-7614155736755835802,4834530113451736407
3894604577679049135,-3889760834992136201
5664936344125392559,-6102533447592460876
5664936344125392559,-7112309434128006135
-7614155736755835802,1725787755711399074
4515268889328978948,1725787755711399074
-3153698306262801839,1926232494965530136
6331876464934177749,4732826475023693312
5766403011017343112,7674407472168104391
5664936344125392559,-3697689905819082101
4163530044174952576,2688613499275929466
4163530044174952576,-7813557832995466640
-7614155736755835802,5148601610848941439
4515268889328978948,5148601610848941439
-4545839660081374931,5537729001135498189
-7614155736755835802,-1953796280774122126
4515268889328978948,-1953796280774122126
6482101497654187663,2742928474143926133
1945658183789658107,2742928474143926133
785237092023006739,-2099663929428045816
5766403011017343112,-2278440419477999209
5766403011017343112,1497737959372698798
4841371906785945378,6783487905873440601
5766403011017343112,-4260139794117116491
-3665274765926973822,2861443827566920012
-3665274765926973822,-1346354152846319734
4515268889328978948,-6401046467334563283
785237092023006739,8770332956708344169
-1722012667550488377,1807671237097660411
-5742032105571643711,1807671237097660411
5766403011017343112,2995489682186948747
-5803732876698030038,2995489682186948747
8267380093877292023,2995489682186948747
-3573120641837833048,-1493352976371348754
-4625353568839279597,-1493352976371348754
-3573120641837833048,3390008904200986362
-4625353568839279597,3390008904200986362
-7614155736755835802,6712362248119272471
-4625353568839279597,6712362248119272471
-7614155736755835802,-4326107842351432563
-4625353568839279597,-4326107842351432563
4515268889328978948,-3124492143719175918
-4625353568839279597,-3124492143719175918
8267380093877292023,-1809382975646976826
4515268889328978948,-1809382975646976826
-4625353568839279597,-1809382975646976826
-7614155736755835802,8493244552988894199
-4625353568839279597,8493244552988894199
-4061703225356062217,-4786330297982686118
-4625353568839279597,-4786330297982686118
