:END_ID(Category),:START_ID(Provider)
1383527830848543814,-5017664344824904628
-2523699229733665981,-5017664344824904628
1383527830848543814,-9102353336865241048
3122401061829751910,-9102353336865241048
1383527830848543814,-6279021236252273507
6849105751078293748,-6279021236252273507
1383527830848543814,3129448447170982378
-489008335420247398,3129448447170982378
-304428060238624890,5089565372784393543
-3082196963230152328,5089565372784393543
-5553951693853482116,5089565372784393543
-304428060238624890,4808064399310046301
-3082196963230152328,4808064399310046301
5491593049029019782,4808064399310046301
-304428060238624890,7134745942422723632
-3082196963230152328,7134745942422723632
-304428060238624890,-6988474759760479269
-3082196963230152328,-6988474759760479269
1383527830848543814,-7394654659159721732
-499573162493191386,-6988474759760479269
-304428060238624890,6027639294148362065
9127254514452022369,6027639294148362065
-304428060238624890,1475776428538762756
84783037901923972,1475776428538762756
9127254514452022369,-6988474759760479269
-304428060238624890,-6718218435688497702
-2084088167355529279,-6718218435688497702
-304428060238624890,1641840821895700765
-499573162493191386,1641840821895700765
-304428060238624890,6102835784707573657
-499573162493191386,6102835784707573657
-304428060238624890,-6703310649383781295
3925959951532176920,-6703310649383781295
-304428060238624890,4752173727740875177
84783037901923972,4752173727740875177
-304428060238624890,6723498165468471811
84783037901923972,6723498165468471811
-2084088167355529279,-6988474759760479269
-304428060238624890,7423940668965076425
9127254514452022369,7423940668965076425
84783037901923972,-6988474759760479269
-304428060238624890,5521012553860217055
9127254514452022369,5521012553860217055
-304428060238624890,8625822646469098573
9127254514452022369,8625822646469098573
-304428060238624890,234862813876073430
84783037901923972,234862813876073430
-304428060238624890,-7186907627851831110
-2359157007372674219,-7186907627851831110
-304428060238624890,3732732870485248069
-2084088167355529279,3732732870485248069
84783037901923972,-7186907627851831110
-304428060238624890,-3404991114411842150
-2359157007372674219,-3404991114411842150
-304428060238624890,-3864083892169334325
-1875246342649072860,-3864083892169334325
-304428060238624890,-3038727550473549603
9127254514452022369,-3038727550473549603
-2359157007372674219,1475776428538762756
7003251151553573011,-6988474759760479269
-304428060238624890,5379785242153400652
-3138942997613919923,5379785242153400652
-304428060238624890,1564290521520392316
-2359157007372674219,1564290521520392316
-304428060238624890,8449654519703139876
84783037901923972,8449654519703139876
9127254514452022369,-7186907627851831110
-304428060238624890,-3260364854970746880
-2359157007372674219,-3260364854970746880
-304428060238624890,5477120777670337747
9127254514452022369,5477120777670337747
3925959951532176920,-6988474759760479269
-304428060238624890,5395116835390155493
-2359157007372674219,5395116835390155493
-304428060238624890,5198949393184415380
-1875246342649072860,5198949393184415380
-304428060238624890,9111126277621750262
-499573162493191386,9111126277621750262
-304428060238624890,-7000042166252693905
-499573162493191386,-7000042166252693905
-304428060238624890,5033702684409756132
-3138942997613919923,5033702684409756132
-304428060238624890,-6911627459559013774
3925959951532176920,-6911627459559013774
-304428060238624890,-9010784804589809350
-499573162493191386,-9010784804589809350
-304428060238624890,3480699874813928576
-3138942997613919923,3480699874813928576
-304428060238624890,6499211476411867222
84783037901923972,6499211476411867222
-3138942997613919923,6499211476411867222
-304428060238624890,-8963744389736154916
-2359157007372674219,-8963744389736154916
-304428060238624890,2013627641269428467
-1875246342649072860,2013627641269428467
-304428060238624890,4346761237443812874
84783037901923972,4346761237443812874
-304428060238624890,8584000777000546424
-2084088167355529279,8584000777000546424
-304428060238624890,-3675470546734757779
-2084088167355529279,-3675470546734757779
-499573162493191386,7134745942422723632
-7600974286724792762,5089565372784393543
-499573162493191386,5089565372784393543
-304428060238624890,-6933483095904175535
9077334956441814840,-6933483095904175535
-304428060238624890,6924330910400677712
9077334956441814840,6924330910400677712
-304428060238624890,2617123300533018341
-6654541338032543576,2617123300533018341
9077334956441814840,5089565372784393543
-304428060238624890,806584085206006657
-7600974286724792762,806584085206006657
-6654541338032543576,5089565372784393543
-304428060238624890,6293828139198881091
-7600974286724792762,6293828139198881091
-304428060238624890,-6821893119495032209
9077334956441814840,-6821893119495032209
