:END_ID(Dataset),:START_ID(Provider)
-5056522362493552905,-5017664344824904628
-977007828531188431,-9102353336865241048
4655165017667278440,-6279021236252273507
4966053413405655275,-6279021236252273507
-4756414086200157569,-9102353336865241048
4043653627602670589,3129448447170982378
-4439463037212604885,-9102353336865241048
2703843220226821027,-9102353336865241048
-6922529904862026051,-9102353336865241048
-5688953871968840037,5089565372784393543
-8377848677174666697,-9102353336865241048
-3633357439705489295,-9102353336865241048
-7533378761959961812,-9102353336865241048
6766749171216161935,-9102353336865241048
-6435678764712713750,-5017664344824904628
-1836269229512184665,3129448447170982378
6316505539890936664,3129448447170982378
1505188817916157961,-9102353336865241048
2901025773916295985,4808064399310046301
-3840822099931638994,-9102353336865241048
4108588104328345276,-9102353336865241048
2095711115824558773,-9102353336865241048
-43080561031261911,-9102353336865241048
-8519829766457978503,-9102353336865241048
-879165252005449996,3129448447170982378
2748459712482584216,3129448447170982378
-2028899619341948129,-9102353336865241048
6589430420698230028,3129448447170982378
-8805102218728925837,-9102353336865241048
3155626456078404194,-9102353336865241048
-7210128775709691571,-9102353336865241048
-1571878931306008653,3129448447170982378
6950788238577691757,-9102353336865241048
7654459854425138008,7134745942422723632
2198135704684474419,-6988474759760479269
-4027420245703973072,-6988474759760479269
-9150749204635112207,-7394654659159721732
3285883304677527555,5089565372784393543
8726268566164483888,-6988474759760479269
5455411641837285761,-6988474759760479269
-2652898006361977885,-6988474759760479269
3821466225036832674,-6988474759760479269
-1004040443737057161,-6988474759760479269
6105844887053929877,-6988474759760479269
8850369424586615052,-6988474759760479269
4523119041628838176,-6988474759760479269
-22548749191754871,-6988474759760479269
-2865661455247210088,-6988474759760479269
-6669480440788501425,-6988474759760479269
9093046269926151972,-6988474759760479269
1931553326215010495,-6988474759760479269
-148692139675759911,-6988474759760479269
-4232035097046068366,-6988474759760479269
-6872679950207960983,-6988474759760479269
-3171021078098311602,-6988474759760479269
-2988891626993220071,-6988474759760479269
5789841343902130644,-6988474759760479269
-7279624985097182424,-6988474759760479269
1514136884142772521,6027639294148362065
7223788634207862103,1475776428538762756
6948952974894118535,-6988474759760479269
-1122937810835626498,-6718218435688497702
7206189078950327271,-6718218435688497702
4377065536206757615,-6718218435688497702
4507346325777104104,-6718218435688497702
-2145049001567106967,-6718218435688497702
2721544834584802043,-6718218435688497702
-90132214384251352,-6718218435688497702
8613667240579785116,-6718218435688497702
-4610010588133477516,-6718218435688497702
-4005794660871882689,-6718218435688497702
2524850739338049222,-6718218435688497702
-2314994374334292938,-6718218435688497702
5257810378516575792,-6718218435688497702
-721652953630715977,-6718218435688497702
1795518686149518847,-6718218435688497702
269108181070722287,-6718218435688497702
-1512148573695490556,-6718218435688497702
5203551525617378255,-6718218435688497702
8953735067216198414,-6718218435688497702
2897253533977662626,-6718218435688497702
-7341776963024188774,-6718218435688497702
-583274387460580374,-6718218435688497702
3218961172110417058,-6718218435688497702
3666507755027711505,-6718218435688497702
8270505354990555833,-6718218435688497702
-6797174877242963534,-6718218435688497702
-2157965956142809868,-6718218435688497702
3779038738146835507,-6718218435688497702
-3381942853838777774,-6718218435688497702
8010070569429595912,-6988474759760479269
-83608813127384201,-6988474759760479269
3898633927019660684,-6988474759760479269
6773629011998289725,1641840821895700765
-3003535221447435587,6102835784707573657
8759333482237302488,6102835784707573657
3977569337379983474,1475776428538762756
-6069455059006077128,-6703310649383781295
-8414273367054575025,4752173727740875177
4942655398932088381,6723498165468471811
-5661631532762828604,-6988474759760479269
1512383538008204210,7423940668965076425
5982471601047232507,-6988474759760479269
-1138659602609426524,-6988474759760479269
6254818030728072813,-6988474759760479269
-4556785740304537815,5521012553860217055
8328828866820176555,8625822646469098573
-2707494379163035512,234862813876073430
8044190709811155901,-6988474759760479269
-8787390036998979645,-7186907627851831110
1652206409133165887,3732732870485248069
-1587362800126463953,3732732870485248069
-1218220795339974177,3732732870485248069
7298536681853411280,3732732870485248069
3875648493060070249,3732732870485248069
-7448497446532778174,3732732870485248069
2205321492170564239,3732732870485248069
8786298598368901539,3732732870485248069
7095063205315911657,3732732870485248069
-3665286984530409963,3732732870485248069
2150522870952278947,3732732870485248069
8240675251398904832,3732732870485248069
3817653604799314319,3732732870485248069
2521464814015044066,3732732870485248069
508829352657337533,3732732870485248069
-2025465925305994433,3732732870485248069
-4197680888410548979,3732732870485248069
-3720231392934276479,3732732870485248069
4235747740206527802,3732732870485248069
3544640851109103419,3732732870485248069
8424758078943712662,3732732870485248069
368787588088987465,3732732870485248069
-5130375202607383695,3732732870485248069
-463589725930827691,3732732870485248069
8790638268758740660,3732732870485248069
2580208729175241469,3732732870485248069
3423373404970859352,-6988474759760479269
174272485268100523,-6988474759760479269
7386278451086671887,-7186907627851831110
3177986805176765970,-6988474759760479269
5902009873768871765,-7186907627851831110
-2033984011802364503,7423940668965076425
-739594313395808401,-6988474759760479269
8489839990633102048,-6988474759760479269
3096723598712490383,-6988474759760479269
-7745618828826699887,-3404991114411842150
7309468846576104130,-3404991114411842150
4652897777519227802,-6988474759760479269
-8266665386952665371,-6988474759760479269
-6759085080935114096,-3864083892169334325
-4149736664279118876,-3038727550473549603
-7793361497967754031,-6988474759760479269
8348333578394787128,1475776428538762756
-565040180892980513,-6988474759760479269
9104780664854248483,-6988474759760479269
-4355426849022291702,-6988474759760479269
-5036118083034440529,-6988474759760479269
-2005837226989851827,7423940668965076425
6286475337261021772,-6988474759760479269
-7130393683817752128,-6988474759760479269
-5348229974915303166,-6988474759760479269
4528413188845816384,-6988474759760479269
2770436181659276434,5379785242153400652
156588402370279825,1564290521520392316
-8738930710863132312,-6988474759760479269
-1815096364953642090,-6988474759760479269
2124833041655504329,7423940668965076425
-4541182100377181349,-6988474759760479269
-4546152430503099741,-6988474759760479269
5964997763996607417,8449654519703139876
-3668311030480936384,-6988474759760479269
-2106012346564215088,-6988474759760479269
5469281856948482670,-7186907627851831110
9163143660489598316,-3260364854970746880
307567506029962460,5477120777670337747
1107732039158832485,-6988474759760479269
-7941827660450252889,-6988474759760479269
9100587864906185933,-6988474759760479269
3251146332485944129,-6988474759760479269
7069582287833605193,-6988474759760479269
5966064199392211889,-6988474759760479269
-4515049582962731499,5395116835390155493
-7472599569468310177,-6988474759760479269
5652246840707075547,5198949393184415380
-4340104945815145826,-6988474759760479269
2107675108664564434,9111126277621750262
6195785393547135879,7423940668965076425
-1540337586105773141,1475776428538762756
4697036300759666525,-6988474759760479269
1894481903531800488,-6988474759760479269
8781851471553650300,-6988474759760479269
2790925685841442702,-6988474759760479269
3626801667159804798,-6988474759760479269
8604220823382094309,-6988474759760479269
-4923981997566525115,-6988474759760479269
7292435929759857190,-6988474759760479269
3715903761354597348,-6988474759760479269
-5609010490978209437,-6988474759760479269
3926837695647160087,-6988474759760479269
-2184744817824876814,-6988474759760479269
-4639010309287704609,-6988474759760479269
-3991615003962021498,-6988474759760479269
-5907662467968697704,-6988474759760479269
-3872441249129016523,-6988474759760479269
-3107482989069679551,-6988474759760479269
-907138040454721079,5395116835390155493
2801559182363636283,-7000042166252693905
8888598753839904070,-6988474759760479269
5850860162860282944,-6988474759760479269
-8199422192299975505,-6988474759760479269
2944584697533271902,-6988474759760479269
6744244947661344778,1475776428538762756
-7725009207668679685,1475776428538762756
93819251259953706,1475776428538762756
6963897126040398794,1475776428538762756
-3630629954489453613,1475776428538762756
-2355990168527053064,1475776428538762756
-7069370358649742804,1475776428538762756
8704241723400737494,1475776428538762756
-6080072001016839815,1475776428538762756
2694218803894214505,1475776428538762756
-7614253697138465190,1475776428538762756
9109848963257588825,1475776428538762756
8661971533954276056,1475776428538762756
4261829380782080046,1475776428538762756
8579308189962485518,1475776428538762756
-67319543793916910,1475776428538762756
1345173241241781886,1475776428538762756
-3385760992245774440,1475776428538762756
8961026517787782415,1475776428538762756
-2439722038848146261,1475776428538762756
-1446713314986619599,1475776428538762756
4362325436599776115,1475776428538762756
5278246950883431170,1475776428538762756
4146700502127708317,1475776428538762756
1710453015311121610,1475776428538762756
2012580697413383786,1475776428538762756
-5794400060488806458,1475776428538762756
-4893717356193882484,1475776428538762756
1340160153211431309,1475776428538762756
1930947905977645609,1475776428538762756
-4464359577163778509,1475776428538762756
-2581833315287133873,1475776428538762756
4990424713348382200,1475776428538762756
22196946666700641,1475776428538762756
-422606694367528195,1475776428538762756
-2516212964049000839,1475776428538762756
-5336166041232862091,1475776428538762756
2584293432503474832,1475776428538762756
-7961524767844390376,1475776428538762756
3836211090176875071,1475776428538762756
3875556896696666629,1475776428538762756
7298414075285990745,1475776428538762756
-1250829604928045608,1475776428538762756
-4845111966648713560,1475776428538762756
-1423207556048449804,1475776428538762756
-2868450077795931945,1475776428538762756
-3167287382789715936,5033702684409756132
3994996252062878469,5033702684409756132
4033742563816008266,5033702684409756132
3633735259128422386,5033702684409756132
6489187513876253866,5033702684409756132
-2413686924916450425,-6911627459559013774
