id,group,new
ADHD,18,ADHD
ANXIETY,18,ANXIETY
ASPERGER SYNDROME,15,AUTISM
AUCKLAND BUSINESS MONITOR,36,BUSINESS
AUTISM,19,AUTISM
BANKS/ACCOUNTING,36,BUSINESS
BUSINESS,11,BUSINESS
BUSINESS PRICE INDEX,26,ECONOMY
CANCER,12,CANCER
CENTRAL GOVERNMENT,23,GOVERNMENT
CHILD HEALTH,19,CHILD
CHILD POVERTY,3,CHILD
CHILD WELFARE,3,CHILD
CHILDBIRTH,14,MATERNITY
CHILDREN,15,CHILD
CITIES,8,CITIES
COAL,40,ENERGY
CONSTRUCTION,4,CONSTRUCTION
CONSUMER PRICE INDEX,26,ECONOMY
COUNCIL,3,COUNCIL
CYBER-SECURITY,20,INTERNET
DEATH,21,DEATH
DECAY,27,DENTAL
DENTAL NURSE,27,DENTAL
DENTIST,27,DENTAL
DEPRESSION,18,DEPRESSION
DEPRIVATION,30,DEPRIVATION
DEPRIVATION QUINTILE,6,DEPRIVATION
DHB,3,DHB
DISABILITY,22,DISABILITY
DISEASE,12,DISEASE
DOCTOR,13,GP
E-COMMERCE,4,INTERNET
EARNINGS,1,EMPLOYMENT
EATING,9,NUTRITION
ECONOMY,17,ECONOMY
ECZEMA,19,DERMATOLOGY
EDUCATION,10,EDUCATION
ELDERLY EMERGENCY,2,EMERGENCY
EMISSIONS,24,POLLUTION
EMPLOYEE,32,EMPLOYMENT
EMPLOYMENT,1,EMPLOYMENT
ENERGY,28,ENERGY
ENERGY TRANSFORMATION/ELECTRICITY,28,ENERGY
ENTERPRISE/COMPANY,34,BUSINESS
ENTERTAINMENT,43,ENTERTAINMENT
ENVIRONMENT,19,ENVIRONMENT
ENVIRONMENTAL HEALTH OFFICER,2,HEALTH STAFF
ETHNICITY,16,ETHNICITY
EXPENSES,25,EXPENDITURE
EXPORT,4,INDUSTRY
FARMING/COSTS,17,FARMING
FAST FOOD,9,NUTRITION
FINAL CONSUMPTION EXPENDITURE,17,EXPENDITURE
FITNESS,9,SPORT
FIZZY DRINK,44,NUTRITION
FOOD,9,NUTRITION
FRUIT,9,NUTRITION
FUEL,42,ENERGY
GDP,17,ECONOMY
GOVERNMENT,11,GOVERNMENT
GOVERNMENT EXPENDITURE,23,GOVERNMENT
GP,13,GP
HEALTH,1,HEALTH
HEALTH INFORMATION MANAGER,2,HEALTH STAFF
