datasetId:ID(Dataset),name,:LABEL
-1034634475554027096,Fiscal Time Series: Historical Fiscal Indicators 1972–2016,Dataset
-1244328576317514844,Environmental Reporting: Influenza hospital discharges 2000–2013,Dataset
-1289164860378949515,New Zealand Health Survey: Adult health conditions 2014/15,Dataset
-2116653534115198991,Business Demography Statistics: Survival rates of enterprise births by industry 2006–2015,Dataset
-2414206742799880561,Figure.NZ: Mortality and publicly funded hospital discharges for infectious diseases 2013/2014,Dataset
-2634983309839227491,Business Demography Statistics: Enterprises by industry 2000–2015,Dataset
-2756172432077882631,Cancer Historical Summary 1948-2011,Dataset
-2814442288298719047,Business Operations Survey 2015,Dataset
-3410775704713562469,Business Demography Statistics: Enterprises by employee count size and industry 2000–2015,Dataset
-343397498423715131,Report on Maternity 2014,Dataset
-3434272319266988272,Census: Meshblock Dataset - Individual Part 2 (absolute values) 2013,Dataset
-3444752923485570181,Business Demography Statistics: Enterprises by overseas equity and industry 2000–2015,Dataset
-3476443782021084906,dataset,Dataset
-3487484944945789763,Short-term Employment Forecasts: 2016-2019 - November 2016,Dataset
-3785827174845224896,"National Accounts (Income and Expenditure): GDP breakdown, Year Ended March 2016",Dataset
-4121789669111524784,OECD - Better Life Index: Edition 2015,Dataset
-4265615211637364436,Mortality Collection: 2013 online tables,Dataset
-4360223830724003734,"LEED: Main earnings source, by industry 2000–2014",Dataset
-4489190236679670450,Business Operations Survey: Detailed tables 2013,Dataset
-4493335118085679252,Energy Statistics: Coal 1990–2015,Dataset
-4529827489081349555,Environmental Reporting: Melanoma rates 1996–2013,Dataset
-4648446587843525867,LEED: Measures by sex and industry (based on ANZSIC06) 1999–2014,Dataset
-5249508247175231675,Farm Expense Price Index: Expense categories 1983–2016,Dataset
-5559296772583415102,Local Authority Election Statistics 2013,Dataset
-5622734028058257575,Census: Detailed Occupation by Sex and Region 2013 (d),Dataset
-5623178645890030738,Census: Qualifications by occupation by industry 2013,Dataset
-5644248297299709055,LEED: Measures by industry (based on ANZSIC06) and firm size 1999–2014,Dataset
-590607888888562868,Regional Tourism Estimates: Key pivot table 2009–2015,Dataset
-5909220561411115253,New Zealand Health Survey: Child health conditions 2014/15,Dataset
-6239326298979767768,New Zealand Health Survey: Private Health Insurance Coverage 2011–2015,Dataset
-6304235930906832913,Energy Use Survey: Priority ratings of energy management by Industry (Annual-May) 2009–2016,Dataset
-6912520869425854504,Tertiary Education: Research Performance 2015,Dataset
-726035608950565753,Recorded Crime: Apprehensions for the latest 24 Calendar Months (Monthly) 2013–2014,Dataset
-7396710017125288154,OECD - Main Science and Technology Indicators 2000–2015,Dataset
-7441797097026403947,"National Accounts (Income and Expenditure): Household consumption expenditure, Year Ended March 2016",Dataset
-7645818435944756602,"National Accounts (Income and Expenditure): Agriculture, Year Ended March 2016",Dataset
-7654524794944400159,Labour Market Statistics 1986–2015,Dataset
-7973803653253120729,Business Demography Statistics: Geographic units by region and industry 2015 (with percentages),Dataset
-8177194362963634025,Mental Health and Addiction: Service use 2011/12,Dataset
-8549490737856198355,New Zealand Health Survey: 2011-14 results for children for all 20 DHBs,Dataset
-873886793754896426,New Zealand Disability Survey 2013,Dataset
-8881836776862838505,"Producers Price Index: Published output commodities, Base Dec 2009 (Quarterly) September 2016",Dataset
-8941342869472819370,Energy Use Survey: Energy management initiatives by Industry (Annual-May) 2009–2016,Dataset
-901400130581569845,Migration Trends and Outlook: Temporary visa holders 2015/16,Dataset
-9147130313824985231,Household Use of Information and Communication Technology: Summary tables 2012,Dataset
-957932539922588167,Business Demography Statistics: Enterprises by business type and industry 2000–2015,Dataset
1012689845950954116,Energy Use Survey: Amount of petrol and diesel purchased by Industry in Terajoules (Annual-May) 2009–2016,Dataset
1038442732959446132,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,Dataset
1192837565772021165,Census: Meshblock Dataset - Individual Part 3a (absolute values) 2013,Dataset
1229330089977677802,Business Operations Survey: Module B ICT 2008–2014,Dataset
1276727357443711626,Environmental Reporting: Air Domain Report 2014,Dataset
143308777726679005,Privately Funded Hospital Discharges 2011/2012,Dataset
156034108827392472,Fiscal Time Series: Historical Fiscal Indicators (per capita) 1972–2016,Dataset
1739522850146916704,"New Zealand Health Survey: Child health service use, unmet need and oral health 2014/15",Dataset
1777563856973914433,National Immunisation Register: Immunisation coverage data 12-month reporting period June 2016,Dataset
1969745127221832354,Suicide Facts: Deaths and intentional self-harm hospitalisations 2012,Dataset
2058293964462250115,Recorded Crime: Apprehensions for the latest Calendar Years (Annual) 1994–2014,Dataset
2079780647927212394,Tertiary Education: Participation - Provider-based Enrolments Field of Study 2015,Dataset
2081880975852225357,Consumers Price Index: CPI Level 3 Classes for New Zealand (Qrtly-Mar/Jun/Sep/Dec) December 2016,Dataset
2557943331486244441,Tertiary Education: Research Financing 2015,Dataset
2844414697342891788,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by age and sex 2013/2014,Dataset
3112162872989379907,Business Demography Statistics: Geographic units births and deaths by area and industry 2001–2015,Dataset
3245411012233938100,Tertiary Education: Financial Resources 2016,Dataset
3369786424482496219,"Recorded Crime: Criminal offences by type (Division & Subdivision), scene and district 1994-2014",Dataset
3556954026082310847,Energy Use Survey: Area of greatest energy savings by Industry (Annual-May) 2009–2016,Dataset
3685339161980305083,Insolvency and Liquidations: ITS Statistical Data Report 2014–2015,Dataset
3853351284994265517,"Producers Price Index: Inputs NZSIOC level 4, Base Dec 2010 quarter (Quarterly) September 2016",Dataset
4542972924868670085,Environmental Reporting: Notified cases of salmonellosis 1997–2013,Dataset
4786964076679135743,New Zealand Health Survey: Child health status and behaviours 2014/15,Dataset
4789679025967066336,Value of Building Work Put In Place: September 2016 quarter,Dataset
5475158191117080060,"Census: Incomes by qualification, study participation, age and industry 2013",Dataset
5948261610582353762,Energy Use Survey: End use of petrol and diesel by Industry in Terajoules (Annual-May) 2008–2016,Dataset
6241937304554487551,Research and Development Survey: 2014 Supplementary tables (formatted),Dataset
6469025777641941458,Fiscal Time Series: Core Crown Expense Tables 2000–2015,Dataset
6969878367769110430,Productivity Statistics: Industry-Level Statistics 1978–2015,Dataset
6976588778443745079,LEED: Measures by age and industry (based on ANZSIC06) 1999–2014,Dataset
7073824044467073600,LEED: Measures by industry (based on ANZSIC06) 1999–2014,Dataset
7196344095485114577,Energy Use Survey: Energy use type by Industry in Terajoules (Annual-May) 2008–2016,Dataset
7582736039400603576,"Household Economic Survey: Expenditure Statistics, Year ended June 2016",Dataset
7618891490817368496,Census: Detailed Occupation by Sex and Region (absolute values and rates per 1000) 2013,Dataset
796424587240431900,Regional Gross Domestic Product: By region and industry (Annual-Mar) 2000–2015,Dataset
8018082955268522390,OECD - Child Well-Being 2009,Dataset
8025645475715983240,Environmental Reporting: Influenza hospital discharges by week 2013,Dataset
8215383094250468193,Building Consents Issued: By region (Quarterly) 1965–2016,Dataset
8263636031267845484,Tatauranga Umanga Maori 2015,Dataset
8305354444841679249,"Producers Price Index: Published input commodities, Base Dec 2009 (Quarterly) September 2016",Dataset
8326799337877160535,New Zealand Progress Indicators Tupuranga Aotearoa: Health expectancy to 2006,Dataset
8411863443364089297,Measuring New Zealand's Progress Using a Sustainable Development Approach 2008,Dataset
8419640332896136123,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by age and ethnic group 2013/2014,Dataset
8608004857924795345,"Selected Cancers 2011, 2012 & 2013",Dataset
878805117675814676,Auckland Business Monitor: Survey Results for waves 1 to 3,Dataset
904833286334050461,New Zealand Health Survey: Adult health status - behaviours and risk factors 2014/15,Dataset
9161036143888692326,LEED: Measures by industry (based on ANZSIC06) and region 1999–2014,Dataset
965408907858420567,"New Zealand Health Survey: Adult health service use, unmet need and oral health 2014/15",Dataset
