:START_ID(Provider),:END_ID(Dataset)
"Ministry of Business, Innovation, and Employment",-3487484944945789763
"Ministry of Business, Innovation, and Employment",-4493335118085679252
"Ministry of Business, Innovation, and Employment",-590607888888562868
"Ministry of Business, Innovation, and Employment",-901400130581569845
"Ministry of Business, Innovation, and Employment",3685339161980305083
Auckland Council,878805117675814676
Department of Internal Affairs,-5559296772583415102
Figure.NZ,-2414206742799880561
Ministry for the Environment,-1244328576317514844
Ministry for the Environment,-4529827489081349555
Ministry for the Environment,1276727357443711626
Ministry for the Environment,4542972924868670085
Ministry for the Environment,8025645475715983240
Ministry of Education,-6912520869425854504
Ministry of Education,2079780647927212394
Ministry of Education,2557943331486244441
Ministry of Education,3245411012233938100
Ministry of Health,-1289164860378949515
Ministry of Health,-2756172432077882631
Ministry of Health,-343397498423715131
Ministry of Health,-4265615211637364436
Ministry of Health,-5909220561411115253
Ministry of Health,-6239326298979767768
Ministry of Health,-8177194362963634025
Ministry of Health,-8549490737856198355
Ministry of Health,1038442732959446132
Ministry of Health,143308777726679005
Ministry of Health,1739522850146916704
Ministry of Health,1777563856973914433
Ministry of Health,1969745127221832354
Ministry of Health,2844414697342891788
Ministry of Health,4786964076679135743
Ministry of Health,8419640332896136123
Ministry of Health,8608004857924795345
Ministry of Health,904833286334050461
Ministry of Health,965408907858420567
OECD,-4121789669111524784
OECD,-7396710017125288154
OECD,8018082955268522390
Statistics New Zealand,-2116653534115198991
Statistics New Zealand,-2634983309839227491
Statistics New Zealand,-2814442288298719047
Statistics New Zealand,-3410775704713562469
Statistics New Zealand,-3434272319266988272
Statistics New Zealand,-3444752923485570181
Statistics New Zealand,-3785827174845224896
Statistics New Zealand,-4360223830724003734
Statistics New Zealand,-4489190236679670450
Statistics New Zealand,-4648446587843525867
Statistics New Zealand,-5249508247175231675
Statistics New Zealand,-5622734028058257575
Statistics New Zealand,-5623178645890030738
Statistics New Zealand,-5644248297299709055
Statistics New Zealand,-6304235930906832913
Statistics New Zealand,-726035608950565753
Statistics New Zealand,-7441797097026403947
Statistics New Zealand,-7645818435944756602
Statistics New Zealand,-7654524794944400159
Statistics New Zealand,-7973803653253120729
Statistics New Zealand,-873886793754896426
Statistics New Zealand,-8881836776862838505
Statistics New Zealand,-8941342869472819370
Statistics New Zealand,-9147130313824985231
Statistics New Zealand,-957932539922588167
Statistics New Zealand,1012689845950954116
Statistics New Zealand,1192837565772021165
Statistics New Zealand,1229330089977677802
Statistics New Zealand,2058293964462250115
Statistics New Zealand,2081880975852225357
Statistics New Zealand,3112162872989379907
Statistics New Zealand,3369786424482496219
Statistics New Zealand,3556954026082310847
Statistics New Zealand,3853351284994265517
Statistics New Zealand,4789679025967066336
Statistics New Zealand,5475158191117080060
Statistics New Zealand,5948261610582353762
Statistics New Zealand,6241937304554487551
Statistics New Zealand,6969878367769110430
Statistics New Zealand,6976588778443745079
Statistics New Zealand,7073824044467073600
Statistics New Zealand,7196344095485114577
Statistics New Zealand,7582736039400603576
Statistics New Zealand,7618891490817368496
Statistics New Zealand,796424587240431900
Statistics New Zealand,8215383094250468193
Statistics New Zealand,8263636031267845484
Statistics New Zealand,8305354444841679249
Statistics New Zealand,8326799337877160535
Statistics New Zealand,8411863443364089297
Statistics New Zealand,9161036143888692326
The Treasury,-1034634475554027096
The Treasury,156034108827392472
The Treasury,6469025777641941458
provider,-3476443782021084906
