subtitleId:ID(Subtitle),name,:LABEL
-1017440576308472227,"2011 Q1–2016 Q3, % change from same quarter previous year",Subtitle
-102669199469955925,"By sex and ethnicity, year ended June 2015, % of adults (with natural teeth)",Subtitle
-1031621687019089173,"By deprivation quintile, year ended June 2016, % of eligible children within group",Subtitle
-1038857901848332082,"2013 Census, number of people employed",Subtitle
-1057351745606628464,"2011 Q1–2016 Q3, % change from same quarter previous year",Subtitle
-1061875818220033377,2001–2015,Subtitle
-1064597097524233430,"2014, % of total R&D expenditure",Subtitle
-106460902972636810,"By age group and sex, year ended June 2012, number of people",Subtitle
-1067539301780349132,"2011 Q1–2016 Q3, % change from same quarter previous year",Subtitle
-1073245555621874438,"By deprivation quintile, year ended June 2016, % of eligible children within group",Subtitle
-1073658952797588806,"2011 Q1–2016 Q3, % change from same quarter previous year",Subtitle
-1088313804097182795,"2011 Q1–2016 Q3, % change from previous quarter",Subtitle
-1089231455187734474,"2006 & 2013 Census years, number of people aged 15+",Subtitle
-1095644507808027845,"By age group and sex, year ended June 2012, number of people",Subtitle
-1096007311185390910,"2011 Q1–2016 Q3, % change from previous quarter",Subtitle
-1125308838634124890,"2012, micrograms per cubic metre of air",Subtitle
-1127136681844466992,"By deprivation quintile, year ended June 2016, % of eligible children within group",Subtitle
-11342093769554930,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",Subtitle
-1147102915126233548,"2011 Q1–2016 Q3, % change from previous quarter",Subtitle
-1158595238648146194,"2011 Q1–2016 Q3, % change from previous quarter",Subtitle
-116303582041298683,"By sex and neighbourhood deprivation, year ended June 2015, % of those who recently saw a GP",Subtitle
-1166830583090940384,"2011 Q1–2016 Q3, % change from same quarter previous year",Subtitle
-1171088317471243957,"By District Health Board, year ended June 2016, % of children within age group",Subtitle
-1186560599889497774,"By deprivation quintile, year ended June 2016, % of eligible children within group",Subtitle
-1203297388416191139,"2011 Q1–2016 Q3, % change from previous quarter",Subtitle
-1225918935179385361,"2011 Q1–2016 Q3, % change from previous quarter",Subtitle
-123392589330224585,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",Subtitle
-1245739291723263362,"By field of study, all tertiary levels, 2015",Subtitle
-1278593224731664582,"2011 Q1–2016 Q3, % change from previous quarter",Subtitle
-1279352836481649380,Estimates and projections for the year ended March 2016–2019,Subtitle
