:START_ID(Tag),:END_ID(Title)
ACC,113093459898070351
ADD,565519665876616237
ADHD,3687193582424969608
ADHD,565519665876616237
Accessions,-414203522053388900
Accessions,-5825994171412764250
Accessions,-6789915770841546098
Accessions,2813379405254278978
Accessions,4786682057465261792
Accounting,-4146087656711297106
Accounting,-4870404295016982183
Accounting,-7485549887851263130
Accounting,-8796863608380017517
Accounting,1902367454491329520
Accounting,9023874192638905150
Addiction,-1186760968321367366
Addiction,-1237620494058145155
Addiction,-186712294960362823
Addiction,-2683662559387693075
Addiction,-2712520377114407867
Addiction,-3288033004337129373
Addiction,-3297124472183384305
Addiction,-3452414994668152346
Addiction,-3714990549950985920
Addiction,-3715358269743843270
Addiction,-3805661084166073432
Addiction,-3946604457766726695
Addiction,-3971042931745235988
Addiction,-4119208367708772430
Addiction,-4252482044742342498
Addiction,-4336028647790135656
Addiction,-4893087064404409710
Addiction,-5004688462828574220
Addiction,-551155523979194821
Addiction,-611135950942109800
Addiction,-6238508043876914106
Addiction,-6394057229529641584
Addiction,-7046385168757196396
Addiction,-7486047019276420369
Addiction,-7983347110418465415
Addiction,-8158903243850817470
Addiction,-8204202328227866114
Addiction,-8529732551505289733
Addiction,-8615887289652313105
Addiction,-8652539765452180042
Addiction,-873451632091767396
Addiction,-9005736559332872202
Addiction,1476819259354731698
Addiction,1515016674596962838
Addiction,1566743467029928015
Addiction,1644327616170727906
Addiction,1697612343027319025
Addiction,251200573941277777
Addiction,2545691037082596735
Addiction,2736592101305951747
Addiction,278605953418758510
Addiction,2893241539178726063
Addiction,2933887136229079048
Addiction,3014755352895353060
Addiction,3179403131168471038
Addiction,3248777437698496744
Addiction,3252130164148792326
Addiction,3370203144667532169
Addiction,3397862050212582448
Addiction,3931646847476128363
Addiction,3970517361194572702
Addiction,406399682493846360
Addiction,4438938014469891907
Addiction,4714434238568007903
Addiction,4831573802566497219
Addiction,5014231552894042891
Addiction,5032675865304697677
Addiction,5444065239874321495
Addiction,5648328712419585849
Addiction,5769807276196853269
Addiction,6172594333122924964
Addiction,6494443150009894996
Addiction,7022362859316346086
Addiction,7029512168855233817
Addiction,7663586218738117183
Addiction,8011310205874360955
Addiction,8016912466578164334
Addiction,8181876127009302985
Addiction,837049567466229305
Addiction,8460486382111977825
Addiction,8882125013607444478
Addiction,9192204087829851599
Addiction,9222731054483489401
After Hours,-4242605745362619030
After Hours,1203614587227489925
After Hours,1418258274907847257
After-Hours,-2546330185266341600
After-Hours,-3232881482300768151
Age,-1395407983995029240
Age,-584299136058981155
Age,-5974464002832886412
Age,-7706473997775512025
Age,613163891553762158
Age,7112961301862628308
Aging,-720465205834737794
Aging,2547649161228236378
Agriculture,-2253801891647773767
Agriculture,-6939501136943408180
Agriculture,-8094302900344506208
Agriculture,1234632194709690984
Agriculture,643114145341433236
Air,-4284044663449422341
Air,979292129236488750
Alcohol,-1102577900503106383
Alcohol,-1356337810195287771
Alcohol,-5936177830933998951
Alcohol,-6033071676152369707
Alcohol,-7433405168388249885
Alcohol,-8634122142860533306
Alcohol,1180175505933500544
Alcohol,1542235249687371468
Alcohol,1747642553258710548
Alcohol,3178691388190338208
Alcohol,5270723675037150414
Alcohol,5631478263120236066
Alcohol,7691526197318909155
Alcohol,916468149939742462
Ambulance Paramedic,-32196112108293072
Anxiety,-2198942512973119760
Anxiety,-2525428897848384245
Anxiety,-2752683650109122178
Anxiety,-8698879524761105576
Anxiety,3687193582424969608
Anxiety,6631347036320341365
Apprehensions,-1833188034454136873
Apprehensions,-4274948091335047837
Arthritis,-5267701997264043382
Arthritis,8779292805426914443
Asperger Syndrome,119083284413418957
Asthma,-2329590550833197210
Asthma,-2875490472271906149
Asthma,-4156995089197398682
Asthma,-4428085074032991993
Asthma,7922652195209409271
Auckland Business Monitor,-4146087656711297106
Auckland Business Monitor,-4870404295016982183
Auckland Business Monitor,-7228350444721307788
Auckland Business Monitor,-7485549887851263130
Auckland Business Monitor,-8796863608380017517
Auckland Business Monitor,1902367454491329520
Auckland Business Monitor,9023874192638905150
Auckland,4629009373923280370
Auckland,7918059755751855048
Audiologist,-9047935680874034264
Autism Spectrum Disorder,119083284413418957
Autism,565519665876616237
BPI,-1042765659807608825
BPI,-1052327924217285616
BPI,-1234804363139229128
BPI,-1248075181529618174
BPI,-13474386954190439
BPI,-1362803791365598427
BPI,-1369732994176544175
BPI,-1463084838258220179
BPI,-1607664525550147178
BPI,-1687502863998775092
BPI,-1875412147909568280
BPI,-1892859778777945043
BPI,-1980444905919071346
BPI,-2032026464042486973
BPI,-2040780156889029341
BPI,-2061224212956209642
BPI,-2065767254105220178
BPI,-2079876768097683483
