titleId:ID(Title),name,:LABEL
-1003407788056909223,Mental health - Suicides by deprivation quintile and life-stage age group 2012,Title
-1006235280570364299,Impairment rates of adults living in residential care facilities in New Zealand,Title
-1042765659807608825,Price paid by New Zealand businesses for bank fees,Title
-1052327924217285616,Price paid by New Zealand businesses for agricultural and forestry equipment,Title
-1061032931395421624,"Health care and social assistance business births/deaths in Invercargill City, New Zealand",Title
-1102577900503106383,Health - Hazardous drinkers among adults (time trends) 2006/07–2014/15,Title
-1114978693569255722,"Health - Publicly funded hospital discharges by recorded external cause, by age and ethnic group 2013/2014",Title
-1127994667581451353,"Industries of employment for people residing in the Maungakiekie-Tamaki Local Board Area, Auckland, NZ",Title
-1132601733050297677,"Industries of employment for people residing in the Puketapapa Local Board Area, Auckland, NZ",Title
-1144478874799404359,"New Zealand hospitalisations for diseases of the oral cavity, salivary glands, and jaws",Title
-117895354452574211,"Health - Excellent, very good or good parent-rated health among children (time trends) 2006/07–2014/15",Title
-1185418054124008254,"Cigarette smoking behaviour in the Whanganui District, New Zealand",Title
-1186760968321367366,Rate of Pacific people using mental health and addiction services in New Zealand,Title
-1192022774170608108,"Cigarette smoking behaviour in Chatham Islands Territory, New Zealand",Title
-1206030194715843400,University research expenditure in New Zealand by purpose,Title
-1211472842634238056,New Zealand hospitalisations for cerebral infarction,Title
-1234804363139229128,Price paid by New Zealand businesses for rent of commercial land and buildings,Title
-1235960991744346992,Intensive care specialists in New Zealand,Title
-1237620494058145155,People seen by forensic teams at New Zealand mental and addiction service providers,Title
-1246953987845345834,Research and development expenditure by the government sector in New Zealand,Title
-1248075181529618174,Price paid by New Zealand businesses for stone and bitumen,Title
-1276097069954333235,Private health insurance cover paid by employers in New Zealand,Title
-1276711173332025325,"Birth rate in the Southern DHB, New Zealand",Title
-1279623030705386628,"Health diagnostic and promotion professionals in the Hawke's Bay Region, New Zealand",Title
-1301173212608861915,"Health - Adults with private health insurance cover, by sociodemographic categories 2011–2015 average",Title
-1301912816952849788,Core Crown spending on core government services in New Zealand by category,Title
-1313432030450913855,Airsheds that exceeded PM10 national standard in New Zealand,Title
-1316303393842154995,"Children fully immunised at age 24 months in the South Canterbury DHB, New Zealand",Title
-1342091211844790380,"Children fully immunised at age 12 months in the Waikato DHB, New Zealand",Title
-13474386954190439,Price received by New Zealand businesses for plastic in primary forms,Title
-1356337810195287771,Health - Past-year drinkers (had alcoholic drink in the past 12 months) among adults (time trends) 2006/07–2014/15,Title
-1362803791365598427,Price received by New Zealand businesses for road passenger transport services,Title
-1365674914081738628,Businesses who use broadband to connect to the Internet in New Zealand,Title
-136625621197000997,Adults with private health insurance cover in New Zealand by household income,Title
-1369732994176544175,"Price received by New Zealand businesses for gypsum, limestone, minerals, salt, precious metals, and stones",Title
-1369927669203680620,"Cigarette smoking behaviour in the Mangere-Otahuhu Local Board Area, Auckland, New Zealand",Title
-1382722399827012816,Dentists in New Zealand,Title
-1395407983995029240,Age distribution of people working in the allied health services industry in New Zealand,Title
-1435136699430103669,"Children fully immunised at age 8 months in the Lakes DHB, New Zealand",Title
-1451271431634105608,"Building consents issued for new non-residential buildings in the Gisborne Region, New Zealand",Title
-1463084838258220179,Price paid by New Zealand businesses for ships and boats,Title
-1479879259918864245,"Industries of employment for people residing in Ashburton District, New Zealand",Title
-1495027872398427096,"Health care and social assistance business births/deaths in Hamilton City, New Zealand",Title
-1524650061706542229,"Highest qualifications of education, health and welfare services managers in New Zealand",Title
-158621524799649347,"Industries of employment for people residing in Westland District, New Zealand",Title
-1603678704741905774,Health - Children whose last GP visit at a GP clinic was free (prevalence) 2014/15,Title
-1605784086975076836,"Industries of employment for people residing in Invercargill City, New Zealand",Title
-1606326837156915761,"Children fully immunised at age 6 months in the Tairawhiti DHB, New Zealand",Title
-1607664525550147178,Price paid by New Zealand businesses for repair and maintenance of domestic and office equipment,Title
-1607839217057094807,Health - Children whose last visit to a practice nurse was free (prevalence) 2014/15,Title
-1624542769482783650,"Children fully immunised at age 8 months in the Auckland DHB, New Zealand",Title
-1640242416080053237,"Industries of employment for people residing in the Franklin Local Board Area, Auckland, NZ",Title
-1645673965533551736,"Children fully immunised at age 12 months in the Waitemata DHB, New Zealand",Title
-1656432754638212471,Otorhinolaryngologists in New Zealand,Title
-1668090163611972444,"Industries of employment for people residing in Chatham Islands Territory, New Zealand",Title
-1673726745918749897,"Cigarette smoking behaviour in Opotiki District, New Zealand",Title
-167631532482042353,"Cigarette smoking behaviour in the Waiheke Local Board Area, Auckland, New Zealand",Title
-1687502863998775092,"Price received by New Zealand businesses for soap, cleaning preparations, and perfumes",Title
-1708046203739081090,"Health care and social assistance business births/deaths in the Wellington Region, New Zealand",Title
-1726888214610583696,Highest qualifications of people working in the health care services industry (other) in New Zealand,Title
-1733724381076712990,"Children fully immunised at age 5 years in the West Coast DHB, New Zealand",Title
-1756100829701320402,Health - Mean height for adults (time trends) 2006/07–2014/15,Title
-176268298946023610,Primary causes of bankruptcy in New Zealand,Title
-1772905913837079929,Core Crown spending on environmental protection in New Zealand by category,Title
-1781941948457537386,Health - Stroke among adults (prevalence) 2014/15,Title
-1783527909593701574,"Cigarette smoking behaviour in Kaipara District, New Zealand",Title
-1789655616465582898,NZ businesses who entered new export markets in the last year,Title
-1794789186284295034,New Zealand hospitalisations for malignant neoplasms of the rectum,Title
-1831503076511414460,New Zealand hospitalisations for malignant neoplasms of the respiratory and intrathoracic organs,Title
-1833188034454136873,Public health and safety offences in New Zealand by sex of offender,Title
-1856266083871303963,Health - Ex-smokers among adults (time trends) 2006/07–2014/15,Title
-185987122257861502,"Children fully immunised at age 5 years in the MidCentral DHB, New Zealand",Title
-186712294960362823,People seen by specialty teams at New Zealand mental and addiction service providers,Title
-1869352609148258038,"Rate of intentional self-harm hospitalisation for people living in the Bay of Plenty DHB, New Zealand",Title
-1875412147909568280,Price received by New Zealand businesses for water passenger transport,Title
-1881473018641964514,"Health diagnostic and promotion professionals in the Tasman Region, New Zealand",Title
-1883932538045499165,Discharges from New Zealand mental health and addiction teams to Māori health providers ,Title
-1888487075062779896,"Health care and social assistance business births/deaths in the Waikato Region, New Zealand",Title
-1891658773218417264,Health - Parent-rated health among children (prevalence) 2014/15,Title
-1892859778777945043,Price paid by New Zealand businesses for legal services,Title
-1911946915181948286,Specialist physicians in New Zealand,Title
-1919053888104591909,New Zealand hospitalisations for complications predominantly related to the puerperium,Title
-1924445469363226292,"People employed in the health care and social assistance industry in the Marlborough Region, New Zealand",Title
-1932817748111325573,"Health therapy professionals in the Otago Region, New Zealand",Title
-1944602908887542061,"Children fully immunised at age 18 months in the Hawke's Bay DHB, New Zealand",Title
-1973237097325979874,"Children fully immunised at age 5 years in the Capital and Coast DHB, New Zealand",Title
-1980444905919071346,"Price received by New Zealand businesses for fish, crustaceans, and other aquatic plants and animals",Title
-198484925191747582,"Children fully immunised at age 5 years in the Waitemata DHB, New Zealand",Title
-1987446373374594850,Health - Notified cases of salmonellosis 1997–2013,Title
-2028288696801251121,Referrals received by New Zealand mental health and addiction teams from Māori health programmes,Title
-2032026464042486973,"Price paid by New Zealand businesses for heating, ventilation, and air conditioning installation services",Title
-2040780156889029341,Price received by New Zealand businesses for sugar and confectionery products,Title
-2046461706821145064,Voter turnout in New Zealand District Health Board elections ,Title
-204718594808584947,New Zealand hospitalisations for diabetes mellitus in pregnancy,Title
-2054039912222715923,Sales representatives for medical & pharmaceutical products in NZ,Title
-2061224212956209642,Price received by New Zealand businesses for accounting services,Title
-2065767254105220178,Price paid by New Zealand businesses for contract manufacturing services,Title
-2073622265569866718,"Birth rate in the Hawkes Bay DHB, New Zealand",Title
-2077078381467083383,Health - Chronic pain among adults (prevalence) 2014/15,Title
-2079876768097683483,Price received by New Zealand businesses for veterinary services,Title
-2087214477874807119,"Children fully immunised at age 8 months in the MidCentral DHB, New Zealand",Title
-2097153849414973349,"People employed in the health care and social assistance industry in the Northland Region, New Zealand",Title
-2098336601402825814,"Cigarette smoking behaviour in Invercargill City, New Zealand",Title
-2101347257488964811,New Zealand hospitalisations for metabolic disorders,Title
-2127557672523857913,Price paid by New Zealand businesses for clothing,Title
-2128784772024623291,"Birth rate in the Wairarapa DHB, New Zealand",Title
-2146019439006144522,"Children fully immunised at age 5 years in the Lakes DHB, New Zealand",Title
-2154159459398402634,New Zealand hospitalisations for diseases of the skin and subcutaneous tissue,Title
-2156408485650310312,"Education, health and welfare services managers in the Bay of Plenty Region, New Zealand",Title
-2158692121033575298,"People with disabilities living in private households in the Otago Region, New Zealand",Title
-2159634231249840594,Health - Class 3 obesity among adults (time trends) 2006/07–2014/15,Title
-2172621416753636632,"Health - Publicly funded hospital procedures by health intervention type, by DHB 2013/2014",Title
