:START_ID(Dataset),:END_ID(Tag)
-1132785123057631723,EMPLOYMENT
-1132785123057631723,INDUSTRY
-1232119768194337300,INNOVATION
-1232119768194337300,RESEARCH
-1232119768194337300,UNIVERSITY
-1353249347057120948,BUSINESS
-1353249347057120948,EMPLOYMENT
-1353249347057120948,GOVERNMENT
-1353249347057120948,INDUSTRY
-1891394159602508268,ECONOMY
-1891394159602508268,GOVERNMENT
-2737544964879564785,DEPRIVATION
-2737544964879564785,DHB
-2737544964879564785,VACCINATION
-2910120658650679584,ACC
-2910120658650679584,DHB
-2910120658650679584,DISABILITY
-2910120658650679584,EDUCATION
-2910120658650679584,GOVERNMENT
-2910120658650679584,HEALTH
-3022100069395520555,CANCER
-3022100069395520555,DERMATOLOGY
-3022100069395520555,DISEASE
-3022100069395520555,HAEMATOLOGY
-3022100069395520555,HEALTH
-3022100069395520555,HOSPITAL
-3022100069395520555,ILLNESS
-3022100069395520555,MAORI
-3022100069395520555,MEDICAL
-3202894526025193693,BUSINESS
-3202894526025193693,INDUSTRY
-3202894526025193693,RESEARCH
-3473370710970906343,BUSINESS
-3473370710970906343,EMPLOYMENT
-3473370710970906343,STAFFING
-3575371652139591736,CHILD
-3575371652139591736,EDUCATION
-3575371652139591736,HEALTH
-3575371652139591736,QUALITY OF LIFE
-3575371652139591736,SAFETY
-3575371652139591736,YOUTH
-3842814226047291383,ENVIRONMENT
-3842814226047291383,HEALTH
-3842814226047291383,OECD
-3842814226047291383,RESEARCH
-398408837062815254,DHB
-398408837062815254,HOSPITALISATION
-398408837062815254,INTERVENTIONS
-398408837062815254,POISONING
-4089103065066544673,EMPLOYMENT
-4089103065066544673,HEALTH
-4089103065066544673,OECD
-4089103065066544673,QUALITY OF LIFE
-4089103065066544673,SOCIETY
-4133214440369720792,ANXIETY
-4133214440369720792,ARTHRITIS
-4133214440369720792,ASTHMA
-4133214440369720792,BIPOLAR
-4133214440369720792,BLOOD PRESSURE
-4133214440369720792,CHOLESTEROL
-4133214440369720792,DEPRESSION
-4133214440369720792,DIABETES
-4133214440369720792,GOUT
-4133214440369720792,HEART
-4133214440369720792,MENTAL HEALTH
-4133214440369720792,OBESITY
-4133214440369720792,OSTEOARTHRITIS
-4133214440369720792,PAIN
-4133214440369720792,STROKE
-4150989164290838002,CANCER
-4150989164290838002,DEATH
-4150989164290838002,DERMATOLOGY
-4150989164290838002,HEALTH
-4150989164290838002,HOSPITAL
-4150989164290838002,MEDICAL
-4150989164290838002,SICKNESS
-4150989164290838002,STOMACH
-4192444646902302315,AGRICULTURE
-421430744528349978,EXPENDITURE
-421430744528349978,GOVERNMENT
-4347735615974131738,ENERGY
-4347735615974131738,INDUSTRY
-5051937937624954514,ENERGY
-5051937937624954514,INDUSTRY
