:START_ID(Provider),:END_ID(Dataset)
"Ministry of Business, Innovation, and Employment",-6806743988723921837
"Ministry of Business, Innovation, and Employment",-8779557081243720706
"Ministry of Business, Innovation, and Employment",1660170972893207865
"Ministry of Business, Innovation, and Employment",4798537976323251634
"Ministry of Business, Innovation, and Employment",9026141901840910253
Auckland Council,-5483377117679920259
Department of Internal Affairs,4870414409729488902
Figure.NZ,114810458370053513
Ministry for the Environment,-9122425995786895946
Ministry for the Environment,-973060323092361631
Ministry for the Environment,1848600394516291596
Ministry for the Environment,8587595379829116780
Ministry for the Environment,8784021600408280173
Ministry of Education,-1232119768194337300
Ministry of Education,-8000780847208692919
Ministry of Education,6184434465108631252
Ministry of Education,8791588819857446933
Ministry of Health,-2737544964879564785
Ministry of Health,-3022100069395520555
Ministry of Health,-398408837062815254
Ministry of Health,-4133214440369720792
Ministry of Health,-4150989164290838002
Ministry of Health,-5736586772478323508
Ministry of Health,-5947923588193297912
Ministry of Health,-708603054086510519
Ministry of Health,-7263619578306871590
Ministry of Health,-7304603707053874151
Ministry of Health,-969922834853916546
Ministry of Health,1369385689282277240
Ministry of Health,2836900474646173242
Ministry of Health,4106405371816993750
Ministry of Health,5350126886781114753
Ministry of Health,5688756253796078857
Ministry of Health,6774268568231014473
Ministry of Health,7922723840089689008
Ministry of Health,8089668695929246380
OECD,-3575371652139591736
OECD,-3842814226047291383
OECD,-4089103065066544673
Statistics New Zealand,-1132785123057631723
Statistics New Zealand,-1353249347057120948
Statistics New Zealand,-1891394159602508268
Statistics New Zealand,-3202894526025193693
Statistics New Zealand,-3473370710970906343
Statistics New Zealand,-4192444646902302315
Statistics New Zealand,-4347735615974131738
Statistics New Zealand,-5051937937624954514
Statistics New Zealand,-562261926657337777
Statistics New Zealand,-5982452580813464525
Statistics New Zealand,-6201487102963238516
Statistics New Zealand,-6390481840003199895
Statistics New Zealand,-6612813662071346519
Statistics New Zealand,-7006768184156439617
Statistics New Zealand,-7096675309041027673
Statistics New Zealand,-7393739475437639575
Statistics New Zealand,-7395922433085369503
Statistics New Zealand,-7689963954184075057
Statistics New Zealand,-8699818270189531705
Statistics New Zealand,-938542730430433150
Statistics New Zealand,1105825195844649585
Statistics New Zealand,1761719096265697495
Statistics New Zealand,1784903731736985307
Statistics New Zealand,1819061892284154668
Statistics New Zealand,1873721639718728715
Statistics New Zealand,2148784683779555082
Statistics New Zealand,251501645078043729
Statistics New Zealand,259256524057688625
Statistics New Zealand,279339960679242853
Statistics New Zealand,3025188011405291355
Statistics New Zealand,3118682089358405668
Statistics New Zealand,3609208336980149623
Statistics New Zealand,3932090072999003724
Statistics New Zealand,398229607126058338
Statistics New Zealand,4484233428650780561
Statistics New Zealand,473102551950031487
Statistics New Zealand,4877046850297357290
Statistics New Zealand,4974884509006058656
Statistics New Zealand,5187555416844014974
Statistics New Zealand,5818741480816383168
Statistics New Zealand,6070980804916985722
Statistics New Zealand,6393814470996048080
Statistics New Zealand,6520735183918073395
Statistics New Zealand,6557692897758135910
Statistics New Zealand,660911223354728576
Statistics New Zealand,6829654237665780929
Statistics New Zealand,69007263113228263
Statistics New Zealand,7090775448779333873
Statistics New Zealand,8192060807369442341
Statistics New Zealand,8367887672799876755
Statistics New Zealand,8819082755797007722
The Treasury,-2910120658650679584
The Treasury,-421430744528349978
The Treasury,-901051835541241530
provider,-2635366891801504265
