:START_ID(Tag),:END_ID(Title)
ACC,-3572701475000929423
ADDICTION,-1386737279388107649
ADDICTION,-1614063849391388679
ADDICTION,-2052948733781642051
ADDICTION,-2124666264262329018
ADDICTION,-2215240662314586250
ADDICTION,-2520595796741023335
ADDICTION,-2892978410392078807
ADDICTION,-3029032563088505963
ADDICTION,-3304639134895563393
ADDICTION,-3648176638514904759
ADDICTION,-3921239441424635588
ADDICTION,-4303061235511306335
ADDICTION,-453897338509946811
ADDICTION,-4541900226500581767
ADDICTION,-4655262773059362433
ADDICTION,-4763241019984261238
ADDICTION,-4840601993072137346
ADDICTION,-4989428710749484426
ADDICTION,-5491689517018066425
ADDICTION,-5497106852917569494
ADDICTION,-5638537387188441221
ADDICTION,-5924203649895508210
ADDICTION,-6007720245937109793
ADDICTION,-6852728631305326831
ADDICTION,-6859120466453529824
ADDICTION,-6932665771087891269
ADDICTION,-7048711855154921407
ADDICTION,-7168188603803599311
ADDICTION,-7278350328418456716
ADDICTION,-764769040688289704
ADDICTION,-7788643399736200497
ADDICTION,-8086529159663378993
ADDICTION,-8493137748520397449
ADDICTION,-8638500998547667606
ADDICTION,-905898258236587899
ADDICTION,-908465516680429280
ADDICTION,-9121216515668468234
ADDICTION,1110179548975506399
ADDICTION,1216738944275440839
ADDICTION,1918708405247400212
ADDICTION,1955503208158271131
ADDICTION,2108928028969082644
ADDICTION,2116197619275338318
ADDICTION,2139205820462571801
ADDICTION,2792292302187609085
ADDICTION,2840718463713702404
ADDICTION,2840978317574578136
ADDICTION,3062304422708707346
ADDICTION,3625856046647370187
ADDICTION,3662912254585440659
ADDICTION,3820869827867095528
ADDICTION,4121928761730609475
ADDICTION,4166066496984710141
ADDICTION,4228504256948848847
ADDICTION,5119508235372896666
ADDICTION,5181179550529555092
ADDICTION,5219654032209668968
ADDICTION,570417984035375799
ADDICTION,6080211612963450520
ADDICTION,6087308306146287629
ADDICTION,6581124824915581565
ADDICTION,7027180476520563449
ADDICTION,7069055242324088940
ADDICTION,7426552388091247442
ADDICTION,7656911497124666797
ADDICTION,769720076584175118
ADDICTION,8000463828958293433
ADDICTION,8078657156395381071
ADDICTION,8450581969905940249
ADDICTION,8654264902048126364
ADDICTION,90270241326796075
ADDICTION,931060302258280516
ADDICTION,940683904306112001
ADHD,-7433550141952106932
ADHD,-8953539862715855454
AGING,-1821047045917776353
AGING,-3224268102197542878
AGING,-3762346198139564830
AGING,-4460898512802864232
AGING,-6077350028977902224
AGING,-6676989435159883507
AGING,-697385657676211093
