tagId:ID(Tag),name,:LABEL
ACC,ACC,Tag
ADDICTION,ADDICTION,Tag
ADHD,ADHD,Tag
AGING,AGING,Tag
AGRICULTURE,AGRICULTURE,Tag
ALCOHOL,ALCOHOL,Tag
AMBULANCE,AMBULANCE,Tag
ANXIETY,ANXIETY,Tag
ARTHRITIS,ARTHRITIS,Tag
ASTHMA,ASTHMA,Tag
AUCKLAND,AUCKLAND,Tag
AUTISM,AUTISM,Tag
BIPOLAR,BIPOLAR,Tag
BLOOD PRESSURE,BLOOD PRESSURE,Tag
BUSINESS,BUSINESS,Tag
CANCER,CANCER,Tag
CAR,CAR,Tag
CARDIOLOGY,CARDIOLOGY,Tag
CHEMIST,CHEMIST,Tag
CHILD,CHILD,Tag
CHINESE,CHINESE,Tag
CHIROPRACTIC,CHIROPRACTIC,Tag
CHOLESTEROL,CHOLESTEROL,Tag
CITIES,CITIES,Tag
CONSTRUCTION,CONSTRUCTION,Tag
COST,COST,Tag
COUNCIL,COUNCIL,Tag
DEATH,DEATH,Tag
DENTAL,DENTAL,Tag
DEPRESSION,DEPRESSION,Tag
DEPRIVATION,DEPRIVATION,Tag
DERMATOLOGY,DERMATOLOGY,Tag
DHB,DHB,Tag
DIABETES,DIABETES,Tag
DISABILITY,DISABILITY,Tag
DISCHARGES,DISCHARGES,Tag
DISEASE,DISEASE,Tag
ECONOMY,ECONOMY,Tag
EDUCATION,EDUCATION,Tag
EMERGENCY,EMERGENCY,Tag
EMPLOYMENT,EMPLOYMENT,Tag
ENERGY,ENERGY,Tag
ENTERTAINMENT,ENTERTAINMENT,Tag
ENVIRONMENT,ENVIRONMENT,Tag
ETHNICITY,ETHNICITY,Tag
EXPENDITURE,EXPENDITURE,Tag
FARMING,FARMING,Tag
FLU,FLU,Tag
FORECAST,FORECAST,Tag
GOUT,GOUT,Tag
GOVERNMENT,GOVERNMENT,Tag
GP,GP,Tag
HAEMATOLOGY,HAEMATOLOGY,Tag
HEALTH STAFF,HEALTH STAFF,Tag
HEALTH,HEALTH,Tag
HEALTHCARE,HEALTHCARE,Tag
HEARING,HEARING,Tag
HEART,HEART,Tag
HEIGHT,HEIGHT,Tag
HOSPITAL,HOSPITAL,Tag
HOSPITALISATION,HOSPITALISATION,Tag
HOUSEHOLD,HOUSEHOLD,Tag
ICT,ICT,Tag
ILLNESS,ILLNESS,Tag
IMMIGRATION,IMMIGRATION,Tag
INDUSTRY,INDUSTRY,Tag
INNOVATION,INNOVATION,Tag
INSURANCE,INSURANCE,Tag
INTENSIVE CARE,INTENSIVE CARE,Tag
INTERNATIONAL,INTERNATIONAL,Tag
