figure_url,item,source,source_url,how
https://figure.nz/table/4JaaUlAa2O1YBbaP,  Health - Children who meet fruit intake guidelines (prevalence) 2014/15,New Zealand Health Survey: Child health status and behaviours 2014/15,https://www.health.govt.nz/publication/annual-update-key-results-2014-15-new-zealand-health-survey,"At URL provided, select ""Child data tables: Health status, health behaviours and risk factors"" from the right-hand column."
https://figure.nz/table/CAY28dvlvmQr7zRN,  Health - Mean waist circumference of children by age 2014/15,New Zealand Health Survey: Child health status and behaviours 2014/15,https://www.health.govt.nz/publication/annual-update-key-results-2014-15-new-zealand-health-survey,"At URL provided, select ""Child data tables: Health status, health behaviours and risk factors"" from the right-hand column."
https://figure.nz/table/jtW6RvCL12FuX9uj,  Health - Children who received physical punishment in past 4 weeks (prevalence) 2014/15,New Zealand Health Survey: Child health status and behaviours 2014/15,https://www.health.govt.nz/publication/annual-update-key-results-2014-15-new-zealand-health-survey,"At URL provided, select ""Child data tables: Health status, health behaviours and risk factors"" from the right-hand column."
https://figure.nz/chart/9s9pPXy7AJEn9fyh-FIW4zYLojZLLujUR,Health and welfare support workers in New Zealand Estimates and projections for the year ended March 2016–2019 ,Short-term Employment Forecasts: 2016-2019 - November 2016,http://www.mbie.govt.nz/info-services/employment-skills/labour-market-reports/forecasting/short-term-employment-forecasts/short-term-employment-forecasts-2016-2019-nov-2016,
https://figure.nz/table/jD4kClF5DPPkko8r,  Health - Class 3 obesity among adults (prevalence) 2014/15,New Zealand Health Survey: Adult health status - behaviours and risk factors 2014/15,https://www.health.govt.nz/publication/annual-update-key-results-2014-15-new-zealand-health-survey,"At URL provided, select 'Adult data tables: Health status, health behaviours and risk factors' from the right-hand column."
https://figure.nz/chart/9s9pPXy7AJEn9fyh-UrVAZTNzBlm8CdYy,"Health therapy professionals in the Tasman Region, New Zealand Estimates and projections for the year ended March 2016–2019 ",Short-term Employment Forecasts: 2016-2019 - November 2016,http://www.mbie.govt.nz/info-services/employment-skills/labour-market-reports/forecasting/short-term-employment-forecasts/short-term-employment-forecasts-2016-2019-nov-2016,
https://figure.nz/table/wdCF63JATe5fOkKT,  Health - Children by body mass index (BMI) category by age and sex 2014/15,New Zealand Health Survey: Child health status and behaviours 2014/15,https://www.health.govt.nz/publication/annual-update-key-results-2014-15-new-zealand-health-survey,"At URL provided, select ""Child data tables: Health status, health behaviours and risk factors"" from the right-hand column."
https://figure.nz/table/zr9POOO8rUp4EnaV,  Health - Class 2 obesity among adults (prevalence) 2014/15,New Zealand Health Survey: Adult health status - behaviours and risk factors 2014/15,https://www.health.govt.nz/publication/annual-update-key-results-2014-15-new-zealand-health-survey,"At URL provided, select 'Adult data tables: Health status, health behaviours and risk factors' from the right-hand column."
https://figure.nz/table/CzDDILh5mmzBZMeq,  Health - Class 3 obesity among adults (time trends) 2006/07–2014/15,New Zealand Health Survey: Adult health status - behaviours and risk factors 2014/15,https://www.health.govt.nz/publication/annual-update-key-results-2014-15-new-zealand-health-survey,"At URL provided, select 'Adult data tables: Health status, health behaviours and risk factors' from the right-hand column."
https://figure.nz/table/SCWiA0zfvISNYtJI,  Health - High blood pressure among adults (time trends) 2006/07–2014/15,New Zealand Health Survey: Adult health conditions 2014/15,https://www.health.govt.nz/publication/annual-update-key-results-2014-15-new-zealand-health-survey,"At URL provided, select ""Adult data tables: Health conditions"" from the right-hand column."
https://figure.nz/chart/VX9o9xJxrXqwBCIa,"Chemists in New Zealand By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/2HrfqSXVU6jCBDU9-7KEXVBoiAkJs2fHz,"New Zealand adults diagnosed with anxiety disorder By sex and neighbourhood deprivation, year ended June 2015, % of adults within group ",New Zealand Health Survey: Adult health conditions 2014/15,https://www.health.govt.nz/publication/annual-update-key-results-2014-15-new-zealand-health-survey,"At URL provided, select ""Adult data tables: Health conditions"" from the right-hand column."
https://figure.nz/chart/2HrfqSXVU6jCBDU9-Kift4dpRjApcQohd,"New Zealand adults diagnosed with anxiety disorder By sex and ethnicity, year ended June 2015, % of adults within group ",New Zealand Health Survey: Adult health conditions 2014/15,https://www.health.govt.nz/publication/annual-update-key-results-2014-15-new-zealand-health-survey,"At URL provided, select ""Adult data tables: Health conditions"" from the right-hand column."
https://figure.nz/chart/uQ7bwVANkR0P6Jxv-Fc2If9d021UuOjBp,"Cigarette smoking behaviour in Wairoa District, New Zealand 2006 & 2013 Census years, number of people aged 15+ ",Census: Meshblock Dataset - Individual Part 2 (absolute values) 2013,http://www.stats.govt.nz/Census/2013-census/data-tables/meshblock-dataset.aspx,"At URL provided, select 'Total New Zealand', under the '2013 Census meshblock dataset – CSV files' heading.
Extract the 2013-mb-dataset-Total-New-Zealand-Individual-Part-2.csv from the zip file. "
https://figure.nz/chart/EOMYHNrMrMoEpLYV-pj594reqbeNOMMiv,"Percentage of the New Zealand population with mobility impairments By sex and age group, 2013, % ",New Zealand Disability Survey 2013,http://www.stats.govt.nz/browse_for_stats/health/disabilities/DisabilitySurvey_HOTP2013.aspx,"At URL provided, select 'Disability Survey: 2013 – tables' from box at the right-hand side of the page."
https://figure.nz/chart/Bp5atC12oR9uoJhC-bntbskV32UnZQVbu,"People with disabilities living in private households in the Auckland Region, New Zealand By impairment type, 2013, thousands ",New Zealand Disability Survey 2013,http://www.stats.govt.nz/browse_for_stats/health/disabilities/DisabilitySurvey_HOTP2013.aspx,"At URL provided, select 'Disability Survey: 2013 – tables' from box at the right-hand side of the page."
https://figure.nz/chart/2HrfqSXVU6jCBDU9-sAs9qKrEe47Ocsed,"New Zealand adults diagnosed with anxiety disorder By sex and age group, year ended June 2015, % of adults within group ",New Zealand Health Survey: Adult health conditions 2014/15,https://www.health.govt.nz/publication/annual-update-key-results-2014-15-new-zealand-health-survey,"At URL provided, select ""Adult data tables: Health conditions"" from the right-hand column."
https://figure.nz/chart/Bp5atC12oR9uoJhC-KrBQHWqn11vJwlVh,"People with disabilities living in private households in the Canterbury Region, New Zealand By impairment type, 2013, thousands ",New Zealand Disability Survey 2013,http://www.stats.govt.nz/browse_for_stats/health/disabilities/DisabilitySurvey_HOTP2013.aspx,"At URL provided, select 'Disability Survey: 2013 – tables' from box at the right-hand side of the page."
