provider,dataset,title,tags,name,subtitle,url
Ministry of Health,New Zealand Health Survey: Child health conditions 2014/15,,,Health - Children diagnosed with emotional or behavioural problems (prevalence) 2014/15,,https://figure.nz/table/oNo4WdcmH2ACERC2
Ministry of Health,New Zealand Health Survey: Adult health status - behaviours and risk factors 2014/15,,Nutrition|Weight|Fitness,Health - Class 2 obesity among adults (prevalence) 2014/15,,https://figure.nz/table/zr9POOO8rUp4EnaV
Ministry of Health,New Zealand Health Survey: Adult health status - behaviours and risk factors 2014/15,,Nutrition|Vegetables|Diet|Food,Health - Adults meeting vegetable intake guidelines (time trends) 2006/07â€“2014/15,,https://figure.nz/table/xklhxxsmrC1AQUZq
Ministry of Health,New Zealand Health Survey: Adult health status - behaviours and risk factors 2014/15,,Nutrition|Weight|Fitness,Health - Class 3 obesity among adults (prevalence) 2014/15,,https://figure.nz/table/jD4kClF5DPPkko8r
Statistics New Zealand,Census: Detailed Occupation by Sex and Region (absolute values and rates per 1000) 2013,Registered nurses (child and family health) in New Zealand,Occupation|Job|Staff|Employment,,"By region, 2013 Census, rate per 1000 population",https://figure.nz/chart/Z09Ae2iLICTYCTRp-uwUmCJwVWLXZOzkK
Ministry of Health,New Zealand Health Survey: Adult health status - behaviours and risk factors 2014/15,,Vegetables|Fruit|Nutrition|Diet|Food,Health - Adults meeting vegetable and fruit intake guidelines (time trends) 2006/07â€“2014/15,,https://figure.nz/table/8azV414ipvRANO0M
Ministry of Health,"New Zealand Health Survey: Adult health service use, unmet need and oral health 2014/15",,Transport,Health - Unmet need for after-hours due to lack of transport among adults (prevalence) 2014/15,,https://figure.nz/table/3sLq5jK5Lo4Xsk76
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,Health and welfare support workers in New Zealand,Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-FIW4zYLojZLLujUR
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Health therapy professionals in the Tasman Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-UrVAZTNzBlm8CdYy
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Health therapy professionals in the Wellington Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-cVhNFu8dBhAUcjjV
